recommended_work_id,completed_work_id,internal_mp_id,mp_name_normalized,similarity_score,recommended_description,completed_description,recommended_amount,completed_amount,audit_status,pipeline_created_at
236322,236312,INTERNAL_MP_273,ADV GOWAAL KAGADA PADAVI,1.0,Install 2 set of solar street lights,Install 2 set of solar street lights,170000.0,169530.0,FLAGGED_FOR_HUMAN_REVIEW_DO_NOT_MERGE,2026-08-26T10:39:19.918730+00:00
236322,236313,INTERNAL_MP_273,ADV GOWAAL KAGADA PADAVI,1.0,Install 2 set of solar street lights,Install 2 set of solar street lights,170000.0,169530.0,FLAGGED_FOR_HUMAN_REVIEW_DO_NOT_MERGE,2026-08-26T10:39:19.918730+00:00
236322,236314,INTERNAL_MP_273,ADV GOWAAL KAGADA PADAVI,1.0,Install 2 set of solar street lights,Install 2 set of solar street lights,170000.0,169530.0,FLAGGED_FOR_HUMAN_REVIEW_DO_NOT_MERGE,2026-08-26T10:39:19.918730+00:00
236322,236315,INTERNAL_MP_273,ADV GOWAAL KAGADA PADAVI,1.0,Install 2 set of solar street lights,Install 2 set of solar street lights,170000.0,169530.0,FLAGGED_FOR_HUMAN_REVIEW_DO_NOT_MERGE,2026-08-26T10:39:19.918730+00:00
236322,236316,INTERNAL_MP_273,ADV GOWAAL KAGADA PADAVI,1.0,Install 2 set of solar street lights,Install 2 set of solar street lights,170000.0,169530.0,FLAGGED_FOR_HUMAN_REVIEW_DO_NOT_MERGE,2026-08-26T10:39:19.918730+00:00
236322,236317,INTERNAL_MP_273,ADV GOWAAL KAGADA PADAVI,1.0,Install 2 set of solar street lights,Install 2 set of solar street lights,170000.0,169530.0,FLAGGED_FOR_HUMAN_REVIEW_DO_NOT_MERGE,2026-08-26T10:39:19.918730+00:00
236322,236318,INTERNAL_MP_273,ADV GOWAAL KAGADA PADAVI,1.0,Install 2 set of solar street lights,Install 2 set of solar street lights,170000.0,169530.0,FLAGGED_FOR_HUMAN_REVIEW_DO_NOT_MERGE,2026-08-26T10:39:19.918730+00:00
236322,236319,INTERNAL_MP_273,ADV GOWAAL KAGADA PADAVI,1.0,Install 2 set of solar street lights,Install 2 set of solar street lights,170000.0,169530.0,FLAGGED_FOR_HUMAN_REVIEW_DO_NOT_MERGE,2026-08-26T10:39:19.918730+00:00
236322,236320,INTERNAL_MP_273,ADV GOWAAL KAGADA PADAVI,1.0,Install 2 set of solar street lights,Install 2 set of solar street lights,170000.0,169530.0,FLAGGED_FOR_HUMAN_REVIEW_DO_NOT_MERGE,2026-08-26T10:39:19.918730+00:00
236322,236321,INTERNAL_MP_273,ADV GOWAAL KAGADA PADAVI,1.0,Install 2 set of solar street lights,Install 2 set of solar street lights,170000.0,169530.0,FLAGGED_FOR_HUMAN_REVIEW_DO_NOT_MERGE,2026-08-26T10:39:19.918730+00:00
236322,236325,INTERNAL_MP_273,ADV GOWAAL KAGADA PADAVI,1.0,Install 2 set of solar street lights,Install 2 set of solar street lights,170000.0,169530.0,FLAGGED_FOR_HUMAN_REVIEW_DO_NOT_MERGE,2026-08-26T10:39:19.918730+00:00
236322,236326,INTERNAL_MP_273,ADV GOWAAL KAGADA PADAVI,1.0,Install 2 set of solar street lights,Install 2 set of solar street lights,170000.0,169529.0,FLAGGED_FOR_HUMAN_REVIEW_DO_NOT_MERGE,2026-08-26T10:39:19.918730+00:00
