internal_vendor_id,vendor_name_raw,vendor_name_normalized,total_received_amount,total_transaction_count,unique_mps_served,unique_states_served,primary_state,primary_activity,source_dataset,source_file,source_download_date,pipeline_created_at
INTERNAL_VND_01887,RVA CONSTRUCTION,RVA CONSTRUCTION,2398959.0,4,1,1,UTTARAKHAND,Construction of footpaths and pedestrian ways,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_01888,MS RUDRAKSHA SALES,MS RUDRAKSHA SALES,2398000.0,8,1,1,RAJASTHAN,Purchase of furniture and fixtures for educational purposes,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_01889,SURASANI PRAVEEN KUMAR,SURASANI PRAVEEN KUMAR,2397961.0,5,1,1,TELANGANA,Improvement of electricity distribution infrastructure,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_01890,Samarth Infrastructure,SAMARTH INFRASTRUCTURE,2397497.0,1,1,1,MAHARASHTRA,Development of public parks,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_01891,Thangavelu,THANGAVELU,2397026.0,2,1,1,TAMIL NADU,"Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers",DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_01892,PRAVIN KUMAR ROY,PRAVIN KUMAR ROY,2396479.0,3,1,1,BIHAR,Construction of public staircase/ stair ghat for public convenience,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_01893,Kradhi Mushahary,KRADHI MUSHAHARY,2396472.0,5,1,1,ASSAM,"Construction of roads, link roads, pathways or any other road with or without drainage system",DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_01894,MD HASIBUL HOSSEN,MD HASIBUL HOSSEN,2396039.0,3,1,1,WEST BENGAL,Construction of rooms and halls in school and colleges,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_01895,Surya Teja Bore wells,SURYA TEJA BORE WELLS,2395822.0,15,1,1,ANDHRA PRADESH,Installing tube-wells and borewells,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_01896,DHOLEKHAM GROUP GRAM PANCHAYAT,DHOLEKHAM GROUP GRAM PANCHAYAT,2394987.0,8,1,1,GUJARAT,"Construction of roads, link roads, pathways or any other road with or without drainage system",DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_01897,MS AVDHESH KUMAR SINGH,MS AVDHESH KUMAR SINGH,2394938.0,4,1,1,UTTAR PRADESH,"Construction of roads, link roads, pathways or any other road with or without drainage system",DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_01898,BDO Surani,BDO SURANI,2394483.0,27,1,1,HIMACHAL PRADESH,"Construction of roads, link roads, pathways or any other road with or without drainage system",DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_01899,Shrma Sports and Garments,SHRMA SPORTS AND GARMENTS,2392741.0,5,1,1,HARYANA,Installation of multi-gym equipment,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_01900,ZAHEERUDDIN MOHAMMAD,ZAHEERUDDIN MOHAMMAD,2391636.0,7,1,1,TELANGANA,Construction of community centers and community halls,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_01901,SELVARAJ R,SELVARAJ R,2391516.0,2,1,1,TAMIL NADU,Construction of community centers and community halls,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_01902,Suman Construction Company,SUMAN CONSTRUCTION COMPANY,2390636.0,1,1,1,PUNJAB,"Construction of roads, link roads, pathways or any other road with or without drainage system",DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
