internal_mp_id,mp_name_normalized,constituency_normalized,state_normalized,allocated_amount,total_expenditure,unspent_amount,utilization_pct,source_dataset,source_file,source_download_date,pipeline_created_at
INTERNAL_MP_019,MAGUNTA SREENIVASULU REDDY,ONGOLE,ANDHRA PRADESH,147000000.0,9854157.0,137145843.0,6.7,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_020,DAGGUBATI PURANDESHWARI,RAJAHMUNDRY,ANDHRA PRADESH,147000000.0,14394558.0,132605442.0,9.79,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_021,MIDHUN REDDY,RAJAMPET,ANDHRA PRADESH,178951477.11,55016006.0,123935471.11,30.74,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_022,KINJARAPU RAM MOHAN NAIDU,SRIKAKULAM,ANDHRA PRADESH,171200630.11,53576961.0,117623669.11,31.29,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_023,MADDILA GURUMOORTHY,TIRUPATI,ANDHRA PRADESH,180399007.0,64414143.0,115984864.0,35.71,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_024,SIVANATH KESINENI,VIJAYAWADA,ANDHRA PRADESH,147000000.0,6329561.0,140670439.0,4.31,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_025,SRIBHARAT MATHUKUMLI,VISAKHAPATNAM,ANDHRA PRADESH,164841922.0,10903207.0,153938715.0,6.61,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_026,APPALANAIDU KALISETTI,VIZIANAGARAM,ANDHRA PRADESH,147000000.0,22325622.0,124674378.0,15.19,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_027,SHRI TAPIR GAO,ARUNACHAL EAST,ARUNACHAL PRADESH,147000000.0,98534470.0,48465530.0,67.03,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_MP_028,KIREN RIJIJU,ARUNACHAL WEST,ARUNACHAL PRADESH,147000000.0,87533016.0,59466984.0,59.55,MP_ALLOCATION,mplads_mp_summary_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
